Symbol,Volatility,Momentum,Mom Ranking,Total Yield,TY Ranking,Rating,Ranking
EBAY,0.01921539898296382,1.661175753944437,3,13.04,1,2.0,1
CHTR,0.019356526689326952,1.172990784104014,29,9.32,3,16.0,2
BASFY,0.021209448272419773,1.2397132579026389,22,5.22,10,16.0,3
ENLAY,0.019296848888253917,1.1819897503005863,27,5.65,7,17.0,4
PCAR,0.01838406353567309,1.2751427756373632,18,3.81,19,18.5,5
TXN,0.021416712424004482,1.3185087119119132,14,3.48,25,19.5,6
MXIM,0.021562384219468708,1.4250937106808999,8,2.72,37,22.5,7
HON,0.019000166601878296,1.177508454404742,28,4.2,17,22.5,8
DTEGY,0.015583936806274422,1.1629084062539627,32,4.4,13,22.5,9
LIN,0.018312524875554376,1.2076202578065558,24,3.59,22,23.0,10
FAST,0.020373574669073035,1.2888439643064733,16,3.16,32,24.0,11
GOOG,0.01968073418854219,1.4211877740985983,9,2.25,43,26.0,12
GILD,0.018510148070573027,1.0444265947568165,46,5.82,6,26.0,13
CTSH,0.021448349851149625,1.057270882202792,44,5.31,9,26.5,14
HD,0.01899041707741803,1.1951060428445555,25,3.29,30,27.5,15
CHKP,0.016954109007741854,1.0062112087510902,52,6.39,5,28.5,16
MSFT,0.02036884034791435,1.332929046940245,12,2.21,45,28.5,17
NKE,0.01998598599405074,1.4609843221078151,6,1.21,54,30.0,18
IDXX,0.02084981312964976,1.7908575572782197,1,0.43,59,30.0,19
ORLY,0.02013856626423904,1.1259890062214069,37,3.5,24,30.5,20
CERN,0.016725373248108754,1.0221182187563809,51,4.55,11,31.0,21
EONGY,0.01634821958209035,0.9431447500109468,60,12.03,2,31.0,22
TRV,0.020074181689947204,1.0902021246013343,41,3.67,21,31.0,23
PG,0.014963719998297728,1.0443772066873103,47,4.37,15,31.0,24
MMM,0.018651199189205978,1.1398827334218493,35,3.35,28,31.5,25
SNPS,0.02025721530601198,1.7633908760981827,2,0.11,61,31.5,26
SIEGY,0.01941968423443343,1.3879647428899573,10,1.54,53,31.5,27
AMGN,0.017895492538973157,1.049263488339652,45,3.72,20,32.5,28
WMT,0.015261288243669655,1.2618851549403682,20,2.02,46,33.0,29
CSCO,0.01999467133275775,1.022176669178608,50,4.35,16,33.0,30
MNST,0.019679719456774665,1.3117350968642034,15,1.56,52,33.5,31
VZ,0.01282157041835262,0.9716797332381161,56,4.48,12,34.0,32
INTU,0.02202624974788275,1.3330818847526875,11,0.71,57,34.0,33
DPSGY,0.020080579521290574,1.4512373193011654,7,0.09,62,34.5,34
JNJ,0.014696353698084108,1.1002457979695253,39,3.2,31,35.0,35
SIRI,0.02034569572945445,0.8573528099155748,67,7.07,4,35.5,36
PEP,0.015757240019472984,1.005112192196492,53,3.99,18,35.5,37
ANSS,0.021520345351179464,1.3274101178985358,13,0.5,58,35.5,38
AMZN,0.02094113871827058,1.6350116495600842,4,0.0,68,36.0,39
VNNVF,0.016791761142837966,1.2435331411565416,21,1.65,51,36.0,40
CSX,0.020997770535478973,1.1456851080715715,34,2.46,39,36.5,41
TMUS,0.01927598415000169,1.513591927755521,5,-0.19,71,38.0,42
UNH,0.021399950920240836,1.1278486187027255,36,2.44,41,38.5,43
IBM,0.01914056820134234,0.8176648285257183,70,5.64,8,39.0,44
FMCQF,0.02014016699326014,1.098550150772136,40,2.56,38,39.0,45
PAYX,0.01986724543507107,1.0709268894593107,42,2.79,36,39.0,46
KDP,0.01814494569886199,1.1641544132453125,31,1.86,48,39.5,47
MRK,0.015115555607517485,0.912776984101464,65,4.37,14,39.5,48
CMCSA,0.018739580807628987,1.171481907326691,30,1.76,50,40.0,49
DIS,0.021161190019995092,1.2695165209275847,19,0.0,63,41.0,50
COST,0.014518353957290935,1.1832184279421554,26,0.93,56,41.0,51
MCD,0.017323006095971517,1.0235528243787555,49,2.96,35,42.0,52
VRSK,0.01685869886100259,1.1164182598928718,38,1.87,47,42.5,53
RWEOY,0.020841593379728997,1.2758785876458572,17,0.0,69,43.0,54
VRSN,0.019782831177909965,0.9197013092426312,64,3.53,23,43.5,55
EXC,0.01975572615625311,0.9395674286683005,61,3.46,26,43.5,56
BMWYY,0.021035608505752243,1.2196226079674075,23,0.0,65,44.0,57
ADP,0.01934186928621507,0.9505647230178378,59,3.33,29,44.0,58
MDLZ,0.015233397624880952,0.9841833902521113,55,2.99,34,44.5,59
V,0.019306939906027012,1.0345501830469268,48,2.22,44,46.0,60
DANOY,0.014924849247941269,0.8263478985569629,69,3.36,27,48.0,61
CPRT,0.020912919906306907,1.1596891979479262,33,0.0,67,50.0,62
AEP,0.01613055186782918,0.8301147224660418,68,3.05,33,50.5,63
XEL,0.016577063766169436,0.9395037397304014,62,2.46,40,51.0,64
ADDYY,0.02089743112160891,1.0583323424924715,43,0.4,60,51.5,65
FISV,0.020491937383840322,0.9223309189573557,63,2.34,42,52.5,66
SAP,0.02063894271531362,0.968356076950574,58,1.19,55,56.5,67
DBOEY,0.017381677786479695,1.0043258872483627,54,0.0,66,60.0,68
SBUX,0.020112867099070165,,71,1.81,49,60.0,69
MURGY,0.019881610133537363,0.9705323517154282,57,0.0,64,60.5,70
KO,0.015163766770009466,0.8704705079874194,66,-0.05,70,68.0,71
